name,label,created,expires,type,status,id
mfn.default.000747,BV0421L4,4/12/2013,4/9/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000148,BV0257L4,4/13/2013,4/12/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000201,BV0267L4,4/13/2013,4/12/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000166,BV0253L4,4/13/2013,4/13/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000453,BV0316L4,4/16/2013,4/16/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000011,BV0128L4,4/18/2013,4/18/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000216,BV0268L4,4/18/2013,4/18/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000439,BV0308L4,4/20/2013,4/19/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000153,BV0136L4,4/20/2013,4/20/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000331,BV0181L4,4/20/2013,4/20/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000332,BV0182L4,4/21/2013,4/21/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000334,BV0184L4,4/21/2013,4/21/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000297,BV0185L4,4/25/2013,4/25/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000300,BV0188L4,4/26/2013,4/26/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000301,BV0189L4,4/26/2013,4/26/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000318,BV0190L4,4/27/2013,4/26/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000319,BV0191L4,4/27/2013,4/27/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000320,BV0192L4,4/27/2013,4/27/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000321,BV0193L4,5/1/2013,4/30/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000294,BV0201L4,5/1/2013,5/1/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000322,BV0194L4,5/1/2013,5/1/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000501,BV0196L4,5/1/2013,5/1/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000800,BV0266L4,5/15/2013,5/4/2023,Monthly Full,full,3100000e09e0bc07d
mfn.default.000823,BV0264L4,5/15/2013,5/4/2023,Monthly Full,full,3100000e09e0bc07d
mfn.default.000826,BV0269L4,5/15/2013,5/4/2023,Monthly Full,full,3100000e09e0bc07d
mfn.default.000829,BV0270L4,5/15/2013,5/4/2023,Monthly Full,full,3100000e09e0bc07d
mfn.default.000832,BV0271L4,5/4/2013,5/4/2023,Monthly Full,full,3100000e09e0bc07d
mfn.default.000127,BV0209L4,5/6/2013,5/5/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000838,BV0273L4,5/5/2013,5/5/2023,Monthly Full,full,3100000e09e0bc07d
mfn.default.000173,BV0203L4,5/7/2013,5/7/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000174,BV0207L4,5/15/2013,5/7/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000164,BV0259L4,5/15/2013,5/10/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000214,BV0277L4,5/15/2013,5/10/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000282,BV0293L4,5/11/2013,5/10/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000564,BV0278L4,5/15/2013,5/10/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000284,BV0294L4,5/11/2013,5/11/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000295,BV0296L4,5/11/2013,5/11/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000431,BV0302L4,5/12/2013,5/12/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000475,BV0331L4,5/12/2013,5/12/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000436,BV0304L4,5/15/2013,5/13/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000432,BV0303L4,5/15/2013,5/14/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000435,BV0305L4,5/15/2013,5/15/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000438,BV0307L4,5/16/2013,5/16/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000452,BV0315L4,5/17/2013,5/17/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000464,BV0324L4,5/17/2013,5/18/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000465,BV0325L4,5/18/2013,5/18/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000468,BV0327L4,5/18/2013,5/18/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000469,BV0328L4,5/19/2013,5/19/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000473,BV0329L4,5/19/2013,5/19/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000474,BV0330L4,5/19/2013,5/19/2014,Weekly Full,full,3100000e09e0bc07d
mfn.default.000333,BV0183L4,4/21/2013,7/20/2013,Weekly Full,full,3100000e09e0bc07d
mfn.default.000788,BV0426L4,5/11/2013,8/10/2013,Weekly Full,full,3100000e09e0bc07d
mfn.default.000466,BV0326L4,5/18/2013,8/16/2013,Weekly Full,full,3100000e09e0bc07d
mfn.default.000487,BV0342L4,9/1/2012,9/1/2022,Monthly Full,full,3100000e09e0bc07d
mfn.default.000568,BV0279L4,11/15/2012,11/15/2022,Monthly Full,full,3100000e09e0bc07d
Bar Code Label,BV0256L4,4/12/2013,4/10/2023,Monthly Full,full,3100000e09e0bc07d
mfnnetworker01.004,BV0241L4,10/29/2011,expired D,efault,full,3100000e09e0bc07d
mfn.default.000157,BV0243L4,1/25/2012,expired W,eekly Full,full,3100000e09e0bc07d
